fold,RMSE,MAE,R2,Accuracy,Macro_F1
1,0.10861726074104595,0.04386038827365595,0.6950751806618884,0.9392081429087908,0.9105162326698508
2,0.09841893510387617,0.038835583114956745,0.699038698831173,0.9448147358467828,0.9106655940472075
3,0.09653949022000896,0.036914122750479166,0.7136515689281251,0.942982025159215,0.9233990469910619
4,0.10019395440016231,0.039212470513902115,0.7183702491894277,0.945906760727893,0.9221897914312331
5,0.09759999264916498,0.037230310775540607,0.6893232588687165,0.9439498298925588,0.9075011410731862
