,precision,recall,f1-score,support
低風,0.9943230422272339,0.9969590643274854,0.9956393085189222,12825.0
正常,0.997419521321205,0.9967122227952553,0.9970657466223841,15512.0
強風,0.9894572432643499,0.9984239558707644,0.9939203765444204,2538.0
極端,0.9972714279527047,0.9952885238815647,0.9962789892696434,23135.0
accuracy,0.9962414367709683,0.9962414367709683,0.9962414367709683,0.9962414367709683
macro avg,0.9946178086913734,0.9968459417187675,0.9957261052388425,54010.0
weighted avg,0.9962466506274682,0.9962414367709683,0.9962422204366699,54010.0
