horizon,RMSE,MAE,R2,Accuracy,Macro_F1
15,0.05592119708587683,0.028341036855117862,0.8996939432713444,0.9523809523809523,0.9345393331670451
30,0.11083093770856214,0.05530052500250409,0.606099987013849,0.9062743208686951,0.8717761342764393
60,0.1453625322705876,0.07308021243478961,0.32246710408681645,0.8756348000148274,0.8263485893804624
90,0.1521357642386791,0.07853701850170701,0.25787212081402777,0.8659671499017463,0.810131794309052
120,0.1554753390808981,0.08157727309778343,0.2249095734753881,0.8586368018986872,0.7973204506864283
