年份,颱風季平均風速 (m/s),颱風季最大風速 (m/s),最低大氣壓 (hPa),平均大氣壓 (hPa)
2016,6.773855524067452,48.95442222222222,949.8231373888889,994.5593478647246
2017,5.096306655002919,21.598583333333334,977.6593007499999,997.335097770841
2018,6.7521499396614155,23.327998611111113,985.7961675,995.7382156294831
2019,7.180469002557551,26.273434722222223,978.0910269166667,994.2034107742429
2020,5.922517147338359,17.31263888888889,989.3556356388889,996.2034536990933
2021,5.388503611813181,20.0189375,980.4878953333333,994.7303197454489
